ppm,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
0.50038,1.339631688,-1.21741658,-1.117521725,1.727600645,1.057559917,1.082140572,0.342212337,1.258448754,0.110576872,-0.151989526,-0.184411163,0.244412024,1.302329125,1.679037927,-1.168078035,1.338101234,-1.21764063,-1.400601448,1.372462404,0.914701638,-1.259112495,0.384266126,-0.327758152,0.706435612,0.0933101,0.419003855,0.629680557,-0.19202169,1.665983204,1.471542092,0.363443427,0.461603397,0.623507425,-0.45016808,0.216710331,-0.587236297,-0.636117882,-0.193567395,-1.105083208,0.248481803,1.184673297,0.949241162,1.902002462,1.509931341,0.860666438,-0.019684919,-0.809349966,1.058226722,1.700011277,1.37050805
0.501547026,1.019161181,-0.884012169,-0.563384099,1.74505635,1.444445643,1.569886742,-0.369246746,1.452171554,-0.297533782,-0.013409019,-0.579376302,0.356602817,0.86371938,2.137959744,-0.638558313,0.957794437,-0.478482929,-1.916054812,1.492672984,0.982724742,-0.746544894,0.368838164,0.270793773,0.967507113,0.029024873,0.241841633,-0.390815278,-1.102675931,1.577837903,0.790559534,0.389399065,0.876178478,0.148276614,-0.367939871,-0.674282487,-0.585782274,-0.189178416,-0.681685943,-0.946489644,-0.279971097,0.984844215,1.071921824,0.882422092,1.690874382,0.845029017,0.239219284,-0.266848531,0.963734525,1.13767777,0.970894802
0.502714051,1.036910669,-0.631136569,-0.639674802,1.758230327,0.605880902,1.387167504,0.113755059,1.24939207,-0.398811569,-0.033547099,-1.035688572,0.354393133,0.399142856,1.373359503,-0.457859222,0.833182258,-1.236947564,-1.840580768,1.92472705,1.136092666,-0.400573883,0.553644497,-0.313827683,1.451229964,-0.162585564,0.066877883,-0.222165088,-1.247418442,1.839601629,1.401312497,0.307366377,1.435456102,-0.398874027,-0.347863106,-0.727608595,0.070727664,-0.466917809,-1.385179769,-1.68025126,0.343036857,0.108508214,0.835720834,0.22623411,0.866114725,0.929265989,0.159041921,-1.075444678,0.878478383,0.949819659,0.987227323
0.503881077,1.352856295,-0.076130689,-0.606311655,2.085104306,0.633150286,1.691498963,0.201924659,1.281770491,-0.654316576,-0.960158982,-0.815954178,0.44607769,0.354471374,0.550251545,-1.028006183,1.292141676,-0.824369047,-2.121845398,1.379415681,0.719796711,-0.889179281,0.45522812,-1.14307893,1.183485132,-0.245808832,-0.172698629,-0.334663816,-0.280121663,1.899831523,1.517729189,0.216732539,1.665115511,-0.386650384,0.879809099,-0.653151867,0.079932414,0.300518686,-1.707776309,-1.215236298,1.397511994,-0.444753447,1.050467674,0.014862786,0.464662296,1.131541215,0.46586335,-0.737824187,0.658370193,0.744633339,1.723336727
0.505048103,1.768709534,-0.07624055,-0.286632561,1.355705443,0.609446705,1.613522927,0.391636663,1.119575509,0.633067351,-1.321758204,-0.920828686,0.417488259,-0.355188576,0.307671512,-1.505544566,1.629248306,-0.821865494,-2.322156627,1.908144799,0.963113122,-1.810114209,0.448794194,-0.4933223,1.346340485,-0.525067703,-0.268790496,-0.777381678,-0.971215866,2.190128953,1.738236991,0.195901995,1.254889828,0.122307537,1.869370961,-1.409880303,-0.152156642,0.633487873,-1.816494391,-1.605849904,1.170154766,-0.516398025,1.245190752,0.062041737,0.038575981,1.493294108,-0.2365047,-0.219699026,1.332048189,0.479361973,1.822681023
0.506215128,1.35358795,0.243982113,-0.538781136,1.890654989,-0.047073951,0.410280479,0.112390013,1.304085384,1.145491846,-1.833527197,-0.707264077,1.102256992,-0.849070777,0.343196352,-1.401700696,1.85603217,-0.168093089,-2.674546524,1.045187407,0.584886369,-1.694156992,0.372341313,-0.146398979,2.094625011,-0.045337093,-0.369896518,-0.689572129,-0.82378366,1.699763135,1.794671708,0.58407267,0.922411341,0.313831406,1.551392489,-1.263096044,-0.577298079,1.141552688,-1.599697778,-0.770353485,0.485614176,-0.160297011,1.382095453,0.045617116,0.031506177,0.775978525,-0.77590401,-0.099615619,0.783420672,0.115883256,1.858751963
0.507382154,1.504455071,1.341101751,-0.137504281,1.505368502,0.55313464,0.517836866,-0.245605796,1.079152126,1.303291813,-1.890887787,-0.473001178,1.358170443,-0.471714566,0.047981668,-1.361528717,1.277153173,-1.328908195,-1.956324652,0.764147409,0.939078438,-0.97478525,0.635351572,0.594403745,1.706647985,0.64972702,0.046605701,0.051425172,-0.670277017,1.385198282,0.352657564,0.217876953,0.665713244,1.41662196,1.79025319,-1.798779196,-0.855894146,0.841228982,-0.716370956,-1.075185489,0.818720509,-0.361912815,1.562457094,-0.252029833,-0.472183388,1.460603463,-1.179202029,-0.002028509,1.304643065,1.235288435,1.221707697
0.50854918,1.309431579,1.052629357,-0.611630326,2.139832973,0.395380277,0.99104405,-0.879093834,0.924482701,1.50229639,-2.022537099,-0.383166722,1.063567559,-0.082093314,-0.205829842,-0.422178788,1.985146348,-0.44450603,-2.182046229,0.714694937,0.877545296,-0.452912873,0.660194638,0.684281302,1.909285025,0.821737923,0.594677841,0.34264683,-0.065697681,1.133666325,0.634356675,0.257778672,0.446299647,1.274568248,1.632790205,-1.599200746,-1.651001964,1.034800137,0.111846726,-0.654903149,0.382489006,0.123808143,1.967484909,-0.09022579,-0.680743944,1.439234336,-0.691333849,0.19672889,2.309872314,1.584815736,1.686867459
0.509716205,1.996543341,1.205253526,-0.080239484,1.436375534,-0.001351273,1.307488248,-0.814986883,0.549257187,1.27770824,-1.453428889,-0.839607421,1.439950436,-0.311807915,0.794630662,-0.591567492,1.774490541,-0.63239418,-2.590918599,0.124808401,1.718422224,-0.726577407,0.744412302,1.248722172,2.148321114,1.595219355,-0.114933456,0.497849782,1.174258879,0.468264365,0.554297501,0.657875402,0.463845577,1.153108128,1.867707252,-1.4526916,-1.678282506,0.504488729,0.041927804,-0.056124335,1.31535997,-0.265291638,1.717882101,0.232276016,-0.391291016,1.494726201,-0.36436153,0.264495761,1.846680192,1.235395608,1.403616365
0.510883231,1.370252289,0.879388506,0.306172512,0.885588974,0.125562622,1.540663771,-1.10243684,0.301831496,0.928305992,-1.631768086,-0.435150834,1.345758419,-0.204775075,0.749860838,-1.217873899,1.692192779,-0.403382498,-1.607247193,-0.010389707,1.540986977,-0.925205258,0.779240226,1.159801513,1.257360749,1.210942332,-0.204519314,0.86121169,0.887658197,-0.258320425,0.861766739,0.003236336,0.563285409,0.773745599,1.446547376,-1.283932808,-1.716488185,0.925711066,0.556093491,0.583850171,1.070433778,0.006122276,1.381256235,0.581120769,-0.52923219,1.543086559,-0.213138188,0.81853708,1.569678003,0.460311692,1.11210859
