ppm,C1211,C1212,C1213,C1214,C1215,C1231,C1232,C1233,C1234,C1235
4.00063,0.000248516,0.000306765,0.000310101,0.000240847,0.000166313,0.000212591,7.81E-05,7.58E-06,0.000206775,0.000173268
3.99938,0.000266609,0.000324108,0.000321215,0.000247723,0.000170369,0.000218963,8.59E-05,2.02E-05,0.000228675,0.000178189
3.99813,0.000282267,0.000343583,0.000335582,0.000256431,0.000180503,0.000229688,9.61E-05,3.48E-05,0.000251349,0.000185072
3.99688,0.000296669,0.000364306,0.000353444,0.000268619,0.000199383,0.0002446,0.000110637,5.31E-05,0.000278528,0.000195605
3.99563,0.000314481,0.000388333,0.000377573,0.000286862,0.000230108,0.000264018,0.000132339,7.79E-05,0.000316572,0.000211978
3.99437,0.000342462,0.000420953,0.000413064,0.000313335,0.000274481,0.000288452,0.000164376,0.00011145,0.000370709,0.000236772
3.99312,0.00038638,0.00046771,0.000464764,0.000347444,0.000330421,0.000317682,0.000208046,0.000152548,0.000439629,0.000271193
3.99187,0.000446443,0.000528835,0.000532301,0.000383969,0.000390433,0.000349806,0.000260467,0.00019483,0.000511515,0.000311778
3.99062,0.000513615,0.000594984,0.000605721,0.000413916,0.000443212,0.000380925,0.000313469,0.000227886,0.00056611,0.000348918
3.98937,0.000570542,0.000649051,0.000666602,0.000428867,0.000478686,0.000405916,0.000355469,0.000242517,0.000584922,0.000370958
3.98811,0.000599276,0.000675023,0.000697045,0.000426602,0.000493726,0.000420345,0.000376547,0.000237247,0.000564536,0.000372545
3.98686,0.000592666,0.000668855,0.000691749,0.000413823,0.000494496,0.000423177,0.000374569,0.000220933,0.000522531,0.000360249
3.98561,0.000560966,0.000642706,0.000663663,0.000403591,0.000494,0.000418871,0.000358762,0.000209093,0.000490007,0.000350253
3.98436,0.000527529,0.000618776,0.000638051,0.000409325,0.000506985,0.000416796,0.00034739,0.000216957,0.000496205,0.000360641
3.98311,0.000517508,0.000618604,0.000640148,0.000439307,0.000544823,0.000427285,0.000359642,0.000253726,0.00055626,0.00040435
3.98186,0.000548573,0.000656035,0.000685394,0.000493574,0.000610689,0.000456489,0.000406225,0.000319155,0.00066646,0.000484533
3.9806,0.000626331,0.000734031,0.000774586,0.00056259,0.000695493,0.000503169,0.000484091,0.000401486,0.000803578,0.000590499
3.97935,0.000740352,0.000840746,0.000890868,0.000628081,0.00077806,0.000558714,0.000577201,0.000478331,0.000927832,0.000696193
3.9781,0.000861443,0.000947042,0.001000061,0.000668294,0.000832773,0.000609659,0.000661582,0.000523837,0.000994937,0.000767379
3.97685,0.000948273,0.001014104,0.001061165,0.000667705,0.000842131,0.000641721,0.00071297,0.000521088,0.000977626,0.000778363
3.9756,0.000966431,0.001012802,0.001046873,0.00062604,0.00080611,0.000644969,0.000716002,0.00047227,0.00088345,0.000727803
3.97435,0.000908876,0.000942205,0.000960963,0.000559636,0.000741789,0.000618702,0.0006719,0.000398616,0.000753204,0.000640911
3.97309,0.000801507,0.000831948,0.000837878,0.000493339,0.000674038,0.000573053,0.000599567,0.000329578,0.000639364,0.000555835
3.97184,0.000688776,0.000725779,0.000724063,0.000448382,0.000623976,0.000525191,0.000527627,0.000288647,0.000580039,0.000504351
3.97059,0.000610379,0.000658803,0.000654911,0.000433906,0.000601745,0.000491489,0.000481324,0.000284529,0.000584849,0.000499407
3.96934,0.000585115,0.000643847,0.000641959,0.000445845,0.000605474,0.000480252,0.000471884,0.00031071,0.000636891,0.000533987
3.96809,0.000608817,0.000671784,0.00067406,0.000471252,0.000624209,0.000489236,0.000493609,0.000350613,0.000704096,0.000587537
3.96684,0.000661435,0.000719835,0.000726303,0.000494219,0.000642409,0.000508436,0.000528548,0.000384323,0.000752114,0.000634593
3.96558,0.000715675,0.000760501,0.000769948,0.000501215,0.000645303,0.000525303,0.0005549,0.000395214,0.000755463,0.000653289
3.96433,0.000745105,0.00076973,0.000781455,0.000485432,0.000624368,0.00052937,0.00055519,0.000375672,0.000705887,0.000632794
3.96308,0.000732735,0.000735176,0.000750481,0.000449185,0.000580589,0.00051523,0.000522131,0.000329809,0.000615153,0.000577158
3.96183,0.000677853,0.000661676,0.000683658,0.000402748,0.000523461,0.000483916,0.000460958,0.000271004,0.00050938,0.000502663
3.96058,0.000596231,0.000569251,0.000600752,0.000359566,0.000466278,0.000442427,0.000387101,0.000215291,0.000416919,0.000429701
3.95933,0.000512317,0.000483623,0.000524721,0.000330389,0.000420754,0.000401033,0.00031962,0.000174588,0.000356847,0.000374119
3.95807,0.000448056,0.000424993,0.000472013,0.000319653,0.000393617,0.000369192,0.000273377,0.00015355,0.000334356,0.000343029
3.95682,0.000414959,0.000401695,0.0004485,0.000325459,0.000385863,0.000352167,0.000254203,0.000150528,0.000343492,0.000335852
3.95557,0.000412717,0.000410523,0.000451347,0.000341908,0.000393617,0.000349983,0.000258907,0.000160351,0.000372712,0.000347282
3.95432,0.000432797,0.000441037,0.00047308,0.000361791,0.000409595,0.000358775,0.000278775,0.000176495,0.000409054,0.000369071
3.95307,0.000463097,0.000479856,0.00050433,0.000378593,0.000425109,0.000373023,0.000303665,0.00019222,0.000440411,0.000390806
3.95182,0.000491266,0.000513647,0.000535019,0.000387889,0.000432748,0.000387325,0.000324779,0.000201715,0.000457863,0.000402009
3.95056,0.000507211,0.000531895,0.000556121,0.000388204,0.000428804,0.000397332,0.000336077,0.000201678,0.000458352,0.000395955
3.94931,0.00050569,0.000529972,0.000562472,0.000380977,0.000414003,0.000400456,0.000335105,0.000192275,0.000445302,0.000372405
3.94806,0.000487878,0.00051058,0.00055445,0.000369311,0.000392144,0.000396439,0.000323243,0.000176405,0.000425651,0.000336805
3.94681,0.000459928,0.000481547,0.000536657,0.00035629,0.000367913,0.000387179,0.000304796,0.000157818,0.000405431,0.000296907
3.94556,0.000429256,0.000451456,0.000514868,0.000344009,0.000345558,0.00037553,0.00028497,0.000139715,0.000387643,0.000259813
3.94431,0.000401697,0.000426489,0.000493943,0.000333665,0.000328471,0.000363859,0.000267949,0.000124471,0.000373454,0.000230976
3.94305,0.000381084,0.00041003,0.000477709,0.000326056,0.000318922,0.000353479,0.000256163,0.000113749,0.000364174,0.000214072
3.9418,0.000369733,0.000403498,0.000469195,0.000321641,0.000317464,0.000345146,0.000250615,0.000108277,0.000361467,0.00021035
